Code,Name,Descrption,Note,Quantity,Man-Hours,Total Man-Hours
2000 040.170.330.770,Piperack Bracing Elevations and Details,C/S E&D - Dwgs - Piperack Bracing Elev and Details,Civil/Structural Engineering and Design - Drawings - Piperack Bracing Elevations and Details,0,0,0
2000 040.170.340.770,"Pipe Bridge and Road Crossing Plans, Sections and Details",C/S E&D - Dwgs - Pipe Brdg and Rd Xing Plan/Sect/Detail,"Civil/Structural Engineering and Design - Drawings - Pipe Bridge and Road Crossing Plans, Sections and Details",0,0,0
2000 040.170.350.770,"Piperack Access Plans, Sections and Details",C/S E&D - Dwgs - Piperack Access Plan/Sect/Detail,"Civil/Structural Engineering and Design - Drawings - Piperack Access Plans, Sections and Details",0,0,0
2000 040.170.360.770,Piperack Fireproofing Sections and Details,C/S E&D - Dwgs - Piperack Fireproofing Sect/Detail,Civil/Structural Engineering and Design - Drawings - Piperack Fireproofing Sections and Details,0,0,0
2000 040.170.370.770,Equipment Support Structure Framing Plans,C/S E&D - Dwgs - Equip Supp Structure Framing Plans,Civil/Structural Engineering and Design - Drawings - Equipment Support Structure Framing Plans,0,0,0
2000 040.170.380.770,Equipment Support Structure Sections and Details,C/S E&D - Dwgs - Equip Supp Structure Sect/Detail,Civil/Structural Engineering and Design - Drawings - Equipment Support Structure Sections and Details,0,0,0
2000 040.170.390.770,"Crane and Monorail Framing Plans, Sections and Details",C/S E&D - Dwgs - Crane/Monorail Framing Plan/Sect/Detail,"Civil/Structural Engineering and Design - Drawings - Crane and Monorail Framing Plans, Sections and Details",0,0,0
2000 040.170.400.770,Miscellaneous Support Schedules and Typical Details,C/S E&D - Dwgs - Misc Supp Schedules and Typical Details,Civil/Structural Engineering and Design - Drawings - Miscellaneous Support Schedules and Typical Details,0,0,0
2000 040.170.410.770,"Miscellaneous Support Elevations, Sections and Details",C/S E&D - Dwgs - Misc Supp Elev Sect/Detail,"Civil/Structural Engineering and Design - Drawings - Miscellaneous Support Elevations, Sections and Details",0,0,0
2000 040.170.420.770,Access Platform Framing Sections and Details,C/S E&D - Dwgs - Access Pltfm Framing Sect/Detail,Civil/Structural Engineering and Design - Drawings - Access Platform Framing Sections and Details,0,0,0
2000 040.170.430.770,"Access Platform Stair and Ladder Elevations, Sections and Details",C/S E&D - Dwgs - Access Pltfm Stair/Ldr Elev Sect/Detail,"Civil/Structural Engineering and Design - Drawings - Access Platform Stair and Ladder Elevations, Sections and Details",0,0,0
2000 040.170.440.770,Building Architectural Floorplans and Elevations,C/S E&D - Dwgs - Bldg Arch Floorplans and Elev,Civil/Structural Engineering and Design - Drawings - Building Architectural Floorplans and Elevations,0,0,0
2000 040.170.450.770,"Building Architectural Schedules, Sections and Details","C/S E&D - Dwgs - Bldg Arch Schedules, Sect/Detail","Civil/Structural Engineering and Design - Drawings - Building Architectural Schedules, Sections and Details",0,0,0
2000 040.170.460.770,"Building Architectural Misc Plans, Sections & Details","C/S E&D - Dwgs - Bldg Arch Misc Plans, Sect/Details","Civil/Structural Engineering and Design - Drawings - Building Architectural Misc Plans, Sections & Details",0,0,0
2000 040.170.470.730,PDMS DRAFT - Civil Contours and Surfaces,C/S E&D - Dwgs - PDMS DRAFT - Civil Contours/Surfaces,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Civil Contours and Surfaces,0,0,0
2000 040.170.480.730,PDMS DRAFT - Site/Plot Plan Backgrounds,C/S E&D - Dwgs - PDMS DRAFT - Site/Plot Plan Backgrounds,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Site/Plot Plan Backgrounds,0,0,0
2000 040.170.490.730,PDMS DRAFT - Underground Drainage Components,C/S E&D - Dwgs - PDMS DRAFT - Undgrd Drainage Components,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Underground Drainage Components,0,0,0
2000 040.170.500.730,PDMS DRAFT - Building Foundations,C/S E&D - Dwgs - PDMS DRAFT - Bldg Fndns,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Building Foundations,0,0,0
2000 040.170.510.730,PDMS DRAFT - Equipment Foundations,C/S E&D - Dwgs - PDMS DRAFT - Equip Fndns,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Equipment Foundations,0,0,0
2000 040.170.520.730,PDMS DRAFT - Piperack Foundations,C/S E&D - Dwgs - PDMS DRAFT - Piperack Fndns,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Piperack Foundations,0,0,0
2000 040.170.530.730,PDMS DRAFT - Support Foundations,C/S E&D - Dwgs - PDMS DRAFT - Supp Fndns,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Support Foundations,0,0,0
2000 040.170.540.730,PDMS DRAFT - Miscellaneous Foundations,C/S E&D - Dwgs - PDMS DRAFT - Misc Fndns,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Miscellaneous Foundations,0,0,0
2000 040.170.550.730,PDMS DRAFT - Building Structures,C/S E&D - Dwgs - PDMS DRAFT - Bldg Struc,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Building Structures,0,0,0
2000 040.170.560.730,PDMS DRAFT - Equipment Structures,C/S E&D - Dwgs - PDMS DRAFT - Equip Struc,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Equipment Structures,0,0,0
2000 040.170.570.730,PDMS DRAFT - Piperack Structures,C/S E&D - Dwgs - PDMS DRAFT - Piperack Struc,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Piperack Structures,0,0,0
2000 040.170.580.730,PDMS DRAFT - Support Structures,C/S E&D - Dwgs - PDMS DRAFT - Supp Struc,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Support Structures,0,0,0
2000 040.170.590.730,PDMS DRAFT - Miscellaneous Structures,C/S E&D - Dwgs - PDMS DRAFT - Misc Struc,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Miscellaneous Structures,0,0,0
2000 040.170.600.730,PDMS DRAFT - Access Platforms,C/S E&D - Dwgs - PDMS DRAFT - Access Pltfms,Civil/Structural Engineering and Design - Drawings - PDMS DRAFT - Access Platforms,0,0,0
2000 050.000.000.000,Mechanical Engineering and Design,Mechanical Eng and Design,Mechanical Engineering and Design,0,0,0
2000 050.110.000.000,Reports and Studies,MECH E&D - Reports and Studies,Mechanical Engineering and Design - Reports and Studies,0,0,0
2000 050.110.010.000,Installation Procedures,MECH E&D - Reports/Studies - Installation Procedures,Mechanical Engineering and Design - Reports and Studies - Installation Procedures,0,0,0
2000 050.110.020.000,Operating and Maintenance Manual,MECH E&D - Reports/Studies - O&M Manual,Mechanical Engineering and Design - Reports and Studies - Operating and Maintenance Manual,0,0,0
2000 050.110.030.000,Commissioning Procedures,MECH E&D - Reports/Studies - Commissioning Procedures,Mechanical Engineering and Design - Reports and Studies - Commissioning Procedures,0,0,0
2000 050.110.040.000,Compression Study,MECH E&D - Reports/Studies - Compression Study,Mechanical Engineering and Design - Reports and Studies - Compression Study,1,0,0
2000 050.110.050.000,Utilities Study,MECH E&D - Reports/Studies - Utilities Study,Mechanical Engineering and Design - Reports and Studies - Utilities Study,0,0,0
2000 050.110.060.000,Pulsation Study,MECH E&D - Reports/Studies - Pulsation Study,Mechanical Engineering and Design - Reports and Studies - Pulsation Study,0,0,0
2000 050.110.070.000,Fire Water System Study,MECH E&D - Reports/Studies - Fire Water Sys Study,Mechanical Engineering and Design - Reports and Studies - Fire Water System Study,0,0,0
2000 050.110.990.000,Specialty/Other,MECH E&D - Reports/Studies - Specialty/Other,Mechanical Engineering and Design - Reports and Studies - Specialty/Other,0,0,0
2000 050.120.000.000,Datasheets and Specifications,MECH E&D - Datasheets and Specs,Mechanical Engineering and Design - Datasheets and Specifications,0,0,0
2000 050.120.010.000,Pipe & Valves,MECH E&D - Datasheets/Specs - Pipe & Valves,Mechanical Engineering and Design - Datasheets and Specifications - Pipe & Valves,1,0,0
2000 050.120.020.000,Pressure Vessels,MECH E&D - Datasheets/Specs - Pressure Vessels,Mechanical Engineering and Design - Datasheets and Specifications - Pressure Vessels,0,0,0
2000 050.120.030.000,Coating,MECH E&D - Datasheets/Specs - Coating,Mechanical Engineering and Design - Datasheets and Specifications - Coating,0,0,0
2000 050.120.040.000,Insulation,MECH E&D - Datasheets/Specs - Insulation,Mechanical Engineering and Design - Datasheets and Specifications - Insulation,0,0,0
2000 050.120.050.000,Compressors,MECH E&D - Datasheets/Specs - Compressors,Mechanical Engineering and Design - Datasheets and Specifications - Compressors,2,0,0
2000 050.120.060.000,Heat Exchangers,MECH E&D - Datasheets/Specs - Heat Exchangers,Mechanical Engineering and Design - Datasheets and Specifications - Heat Exchangers,2,0,0
2000 050.120.070.000,Fired Equipment,MECH E&D - Datasheets/Specs - Fired Equip,Mechanical Engineering and Design - Datasheets and Specifications - Fired Equipment,0,0,0
2000 050.120.080.000,Pumps,MECH E&D - Datasheets/Specs - Pumps,Mechanical Engineering and Design - Datasheets and Specifications - Pumps,0,0,0
2000 050.120.090.000,Tanks,MECH E&D - Datasheets/Specs - Tanks,Mechanical Engineering and Design - Datasheets and Specifications - Tanks,0,0,0
2000 050.120.100.000,Packaged Systems,MECH E&D - Datasheets/Specs - Packaged Sys,Mechanical Engineering and Design - Datasheets and Specifications - Packaged Systems,0,0,0
2000 050.120.980.000,Construction,MECH E&D - Datasheets/Specs - Const,Mechanical Engineering and Design - Datasheets and Specifications - Construction,1,0,0
2000 050.120.990.000,Specialty/Other,MECH E&D - Datasheets/Specs - Specialty/Other,Mechanical Engineering and Design - Datasheets and Specifications - Specialty/Other,0,0,0
2000 050.130.000.000,Calculations and Analysis,MECH E&D - Calculations and Analysis,Mechanical Engineering and Design - Calculations and Analysis,0,0,0
2000 050.130.010.000,Line Sizing/Hydraulics,MECH E&D - Calcs/Analysis - Line Sizing/Hydraulics,Mechanical Engineering and Design - Calculations and Analysis - Line Sizing/Hydraulics,0,0,0
2000 050.130.020.000,Compression,MECH E&D - Calcs/Analysis - Compression,Mechanical Engineering and Design - Calculations and Analysis - Compression,1,0,0
2000 050.130.030.000,Process Pump Sizing,MECH E&D - Calcs/Analysis - Process Pump Sizing,Mechanical Engineering and Design - Calculations and Analysis - Process Pump Sizing,0,0,0
2000 050.130.040.000,Utility Pump Sizing,MECH E&D - Calcs/Analysis - Utility Pump Sizing,Mechanical Engineering and Design - Calculations and Analysis - Utility Pump Sizing,0,0,0
2000 050.130.050.000,Chemical Injection Systems,MECH E&D - Calcs/Analysis - Chemical Injection Sys,Mechanical Engineering and Design - Calculations and Analysis - Chemical Injection Systems,0,0,0
2000 050.130.060.000,Cooling/Heat Media System,MECH E&D - Calcs/Analysis - Cooling/Heat Media Sys,Mechanical Engineering and Design - Calculations and Analysis - Cooling/Heat Media System,0,0,0
2000 050.130.070.000,Drain Systems,MECH E&D - Calcs/Analysis - Drain Sys,Mechanical Engineering and Design - Calculations and Analysis - Drain Systems,0,0,0
2000 050.130.080.000,Firewater Systems,MECH E&D - Calcs/Analysis - Firewater Sys,Mechanical Engineering and Design - Calculations and Analysis - Firewater Systems,0,0,0
2000 050.130.090.000,Fuel Systems,MECH E&D - Calcs/Analysis - Fuel Sys,Mechanical Engineering and Design - Calculations and Analysis - Fuel Systems,0,0,0
2000 050.130.100.000,"Utility Systems (Air, Utility Gas, Water, etc.)","MECH E&D - Calcs/Analysis - Utility Sys (Air, Gas, Water)","Mechanical Engineering and Design - Calculations and Analysis - Utility Systems (Air, Utility Gas, Water, etc.)",0,0,0
2000 050.130.110.000,Exchangers,MECH E&D - Calcs/Analysis - Exchangers,Mechanical Engineering and Design - Calculations and Analysis - Exchangers,0,0,0
2000 050.130.120.000,Fired Equipment,MECH E&D - Calcs/Analysis - Fired Equip,Mechanical Engineering and Design - Calculations and Analysis - Fired Equipment,1,0,0
2000 050.130.130.000,Tanks,MECH E&D - Calcs/Analysis - Tanks,Mechanical Engineering and Design - Calculations and Analysis - Tanks,0,0,0
2000 050.130.140.000,Packaged Systems,MECH E&D - Calcs/Analysis - Packaged Sys,Mechanical Engineering and Design - Calculations and Analysis - Packaged Systems,0,0,0
2000 050.130.150.000,Pipe Stress (Non-Software),MECH E&D - Calcs/Analysis - Pipe Stress (Non-Software),Mechanical Engineering and Design - Calculations and Analysis - Pipe Stress (Non-Software),0,0,0
2000 050.130.160.980,APV,MECH E&D - Calcs/Analysis - APV,Mechanical Engineering and Design - Calculations and Analysis - APV,0,0,0
2000 050.130.170.960,FLOW OF FLUIDS,MECH E&D - Calcs/Analysis - FLOW OF FLUIDS,Mechanical Engineering and Design - Calculations and Analysis - FLOW OF FLUIDS,0,0,0
2000 050.130.180.700,PIPE STRESS ,MECH E&D - Calcs/Analysis - PIPE STRESS ,Mechanical Engineering and Design - Calculations and Analysis - PIPE STRESS ,1,0,0
2000 050.130.190.870,RISA3D - Model Clash Detection,MECH E&D - Calcs/Analysis - RISA3D - Model Clash Detection,Mechanical Engineering and Design - Calculations and Analysis - RISA3D - Model Clash Detection,1,0,0
2000 050.130.990.000,Specialty/Other,MECH E&D - Calcs/Analysis - Specialty/Other,Mechanical Engineering and Design - Calculations and Analysis - Specialty/Other,0,0,0
2000 050.140.000.000,Lists and Schedules ,MECH E&D - Lists and Schedules ,Mechanical Engineering and Design - Lists and Schedules ,0,0,0
2000 050.140.010.000,Valve List ,MECH E&D - Lists/Schedules - Valve List ,Mechanical Engineering and Design - Lists and Schedules  - Valve List ,0,0,0
2000 050.140.020.000,Tie-In List ,MECH E&D - Lists/Schedules - Tie-In List ,Mechanical Engineering and Design - Lists and Schedules  - Tie-In List ,0,0,0
2000 050.140.030.000,Equipment List,MECH E&D - Lists/Schedules - Equip List,Mechanical Engineering and Design - Lists and Schedules  - Equipment List,0,0,0
2000 050.140.040.000,Material Take-Off/BOM,MECH E&D - Lists/Schedules - Material Take-Off/BOM,Mechanical Engineering and Design - Lists and Schedules  - Material Take-Off/BOM,1,0,0
2000 050.140.050.000,Line List ,MECH E&D - Lists/Schedules - Line List ,Mechanical Engineering and Design - Lists and Schedules  - Line List ,1,0,0
2000 050.140.990.000,Specialy/Other,MECH E&D - Lists/Schedules - Specialy/Other,Mechanical Engineering and Design - Lists and Schedules  - Specialy/Other,0,0,0
2000 050.150.000.000,Purchase Requisitions,MECH E&D - Purchase Requisitions,Mechanical Engineering and Design - Purchase Requisitions,0,0,0
2000 050.150.010.000,Pipe & Valves ,MECH E&D - Purchase Reqs - Pipe & Valves ,Mechanical Engineering and Design - Purchase Requisitions - Pipe & Valves ,0,0,0
2000 050.150.020.000,Pressure Vessels ,MECH E&D - Purchase Reqs - Pressure Vessels ,Mechanical Engineering and Design - Purchase Requisitions - Pressure Vessels ,1,0,0
2000 050.150.030.000,Coating,MECH E&D - Purchase Reqs - Coating,Mechanical Engineering and Design - Purchase Requisitions - Coating,0,0,0
2000 050.150.040.000,Insulation,MECH E&D - Purchase Reqs - Insulation,Mechanical Engineering and Design - Purchase Requisitions - Insulation,0,0,0
2000 050.150.050.000,Compressors,MECH E&D - Purchase Reqs - Compressors,Mechanical Engineering and Design - Purchase Requisitions - Compressors,0,0,0
2000 050.150.060.000,Exchangers,MECH E&D - Purchase Reqs - Exchangers,Mechanical Engineering and Design - Purchase Requisitions - Exchangers,0,0,0
2000 050.150.070.000,Fired Equipment,MECH E&D - Purchase Reqs - Fired Equip,Mechanical Engineering and Design - Purchase Requisitions - Fired Equipment,0,0,0
2000 050.150.080.000,Pumps,MECH E&D - Purchase Reqs - Pumps,Mechanical Engineering and Design - Purchase Requisitions - Pumps,0,0,0
2000 050.150.090.000,Tanks,MECH E&D - Purchase Reqs - Tanks,Mechanical Engineering and Design - Purchase Requisitions - Tanks,0,0,0
2000 050.150.100.000,Packaged Systems,MECH E&D - Purchase Reqs - Packaged Sys,Mechanical Engineering and Design - Purchase Requisitions - Packaged Systems,0,0,0
2000 050.150.980.000,Construction,MECH E&D - Purchase Reqs - Const,Mechanical Engineering and Design - Purchase Requisitions - Construction,0,0,0
2000 050.150.990.000,Specialty/Other,MECH E&D - Purchase Reqs - Specialty/Other,Mechanical Engineering and Design - Purchase Requisitions - Specialty/Other,0,0,0
2000 050.160.000.010,Modeling,MECH E&D - Model,Mechanical Engineering and Design - Modeling,0,0,0
2000 050.160.010.770,ACAD - Equipment,MECH E&D - Model - ACAD - Equip,Mechanical Engineering and Design - Modeling - ACAD - Equipment,0,0,0
2000 050.160.020.770,ACAD - Piping,MECH E&D - Model - ACAD - Piping,Mechanical Engineering and Design - Modeling - ACAD - Piping,1,0,0
2000 050.160.030.770,ACAD - Pipe Supports,MECH E&D - Model - ACAD - Pipe Supps,Mechanical Engineering and Design - Modeling - ACAD - Pipe Supports,0,0,0
2000 050.160.040.730,PDMS - Equipment,MECH E&D - Model - PDMS - Equip,Mechanical Engineering and Design - Modeling - PDMS - Equipment,0,0,0
2000 050.160.050.730,PDMS - Piping,MECH E&D - Model - PDMS - Piping,Mechanical Engineering and Design - Modeling - PDMS - Piping,1,0,0
2000 050.160.060.730,PDMS - Pipe Supports,MECH E&D - Model - PDMS - Pipe Supps,Mechanical Engineering and Design - Modeling - PDMS - Pipe Supports,0,0,0
2000 050.160.070.770,ACAD - Specification & Catalog Development,MECH E&D - Model - ACAD - Spec & Catalog Development,Mechanical Engineering and Design - Modeling - ACAD - Specification & Catalog Development,1,0,0
2000 050.160.080.730,PDMS - Specification & Catalog Development,MECH E&D - Model - PDMS - Spec & Catalog Development,Mechanical Engineering and Design - Modeling - PDMS - Specification & Catalog Development,1,0,0
2000 050.160.090.770,ACAD - Administration,MECH E&D - Model - ACAD - Administration,Mechanical Engineering and Design - Modeling - ACAD - Administration,1,0,0
2000 050.160.100.730,PDMS - Administration,MECH E&D - Model - PDMS - Administration,Mechanical Engineering and Design - Modeling - PDMS - Administration,1,0,0
2000 050.160.110.920,LEICA - Laser Scanning,MECH E&D - Model - LEICA - Laser Scanning,Mechanical Engineering and Design - Modeling - LEICA - Laser Scanning,0,0,0
2000 050.160.120.720,LFM - Laser Scanning,MECH E&D - Model - LFM - Laser Scanning,Mechanical Engineering and Design - Modeling - LFM - Laser Scanning,0,0,0
2000 050.170.000.000,Drawings,MECH E&D - Dwgs,Mechanical Engineering and Design - Drawings,0,0,0
2000 050.170.010.770,ACAD - Drawing Index,MECH E&D - Dwgs - ACAD - Drawing Index,Mechanical Engineering and Design - Drawings - ACAD - Drawing Index,1,0,0
2000 050.170.020.770,ACAD - General Notes,MECH E&D - Dwgs - ACAD - General Notes,Mechanical Engineering and Design - Drawings - ACAD - General Notes,1,0,0
2000 050.170.030.770,ACAD - As-Built,MECH E&D - Dwgs - ACAD - As-Built,Mechanical Engineering and Design - Drawings - ACAD - As-Built,20,0,0
2000 050.170.040.770,ACAD - Demolition,MECH E&D - Dwgs - ACAD - Demolition,Mechanical Engineering and Design - Drawings - ACAD - Demolition,3,0,0
2000 050.170.050.770,ACAD - Plans - General Arrangements (GA's),MECH E&D - Dwgs - ACAD - Plans - Gen Arrangements (GA),Mechanical Engineering and Design - Drawings - ACAD - Plans - General Arrangements (GA's),1,0,0
2000 050.170.060.770,ACAD - Plans - Safety Equipment Location (ESD/FGS),MECH E&D - Dwgs - ACAD - Plans - Sfty Equip(ESD/FGS),Mechanical Engineering and Design - Drawings - ACAD - Plans - Safety Equipment Location (ESD/FGS),0,0,0
2000 050.170.070.770,ACAD - Plans - Piping,MECH E&D - Dwgs - ACAD - Plans - Piping,Mechanical Engineering and Design - Drawings - ACAD - Plans - Piping,0,0,0
2000 050.170.080.770,ACAD - Access/Egress,MECH E&D - Dwgs - ACAD - Access/Egress,Mechanical Engineering and Design - Drawings - ACAD - Access/Egress,0,0,0
2000 050.170.090.770,ACAD - Station Bill,MECH E&D - Dwgs - ACAD - Station Bill,Mechanical Engineering and Design - Drawings - ACAD - Station Bill,0,0,0
2000 050.170.100.770,ACAD - Sections and Details - Piping,MECH E&D - Dwgs - ACAD - Sect/Detail - Piping,Mechanical Engineering and Design - Drawings - ACAD - Sections and Details - Piping,0,0,0
2000 050.170.110.770,ACAD - Bridle Details,MECH E&D - Dwgs - ACAD - Bridle Details,Mechanical Engineering and Design - Drawings - ACAD - Bridle Details,0,0,0
2000 050.170.120.770,ACAD - Vessel/Tank,MECH E&D - Dwgs - ACAD - Vessel/Tank,Mechanical Engineering and Design - Drawings - ACAD - Vessel/Tank,0,0,0
2000 050.170.130.770,ACAD - Skid/Nozzle Layouts,MECH E&D - Dwgs - ACAD - Skid/Nozzle Layouts,Mechanical Engineering and Design - Drawings - ACAD - Skid/Nozzle Layouts,0,0,0
2000 050.170.140.770,ACAD - Isometrics,MECH E&D - Dwgs - ACAD - Isometrics,Mechanical Engineering and Design - Drawings - ACAD - Isometrics,0,0,0
2000 050.170.150.770,ACAD - Pipe Supports,MECH E&D - Dwgs - ACAD - Pipe Supps,Mechanical Engineering and Design - Drawings - ACAD - Pipe Supports,0,0,0
2000 050.170.160.770,"ACAD - Building Drawings & Details (Plumbing, HVAC)","MECH E&D - Dwgs - ACAD - Bldg Dwgs/Details (Plumbing, HVAC)","Mechanical Engineering and Design - Drawings - ACAD - Building Drawings & Details (Plumbing, HVAC)",0,0,0
2000 050.170.170.730,PDMS DRAFT - Plans - General Arrangements (GA's),MECH E&D - Dwgs - PDMS DRAFT - Plans - Gen Arrangements (GA),Mechanical Engineering and Design - Drawings - PDMS DRAFT - Plans - General Arrangements (GA's),1,0,0
2000 050.170.180.730,PDMS DRAFT - Plans - Safety Equipment Location (ESD/FGS),MECH E&D - Dwgs - PDMS DRAFT - Plans - Sfty Equip(ESD/FGS),Mechanical Engineering and Design - Drawings - PDMS DRAFT - Plans - Safety Equipment Location (ESD/FGS),0,0,0
2000 050.170.190.730,PDMS DRAFT - Piping Plans,MECH E&D - Dwgs - PDMS DRAFT - Piping Plans,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Piping Plans,0,0,0
2000 050.170.200.730,PDMS DRAFT - Access/Egress,MECH E&D - Dwgs - PDMS DRAFT - Access/Egress,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Access/Egress,0,0,0
2000 050.170.210.730,PDMS DRAFT - Piping Sections and Details,MECH E&D - Dwgs - PDMS DRAFT - Piping Sect/Detail,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Piping Sections and Details,0,0,0
2000 050.170.220.730,PDMS DRAFT - Bridle Details,MECH E&D - Dwgs - PDMS DRAFT - Bridle Details,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Bridle Details,0,0,0
2000 050.170.230.730,PDMS DRAFT - Vessel/ Tank Drawing,MECH E&D - Dwgs - PDMS DRAFT - Vessel/ Tank Drawing,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Vessel/ Tank Drawing,0,0,0
2000 050.170.240.730,PDMS DRAFT - Skid/Nozzle Layouts,MECH E&D - Dwgs - PDMS DRAFT - Skid/Nozzle Layouts,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Skid/Nozzle Layouts,0,0,0
2000 050.170.250.730,PDMS DRAFT - Isometrics,MECH E&D - Dwgs - PDMS DRAFT - Isometrics,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Isometrics,0,0,0
2000 050.170.260.730,PDMS DRAFT - Pipe Supports,MECH E&D - Dwgs - PDMS DRAFT - Pipe Supps,Mechanical Engineering and Design - Drawings - PDMS DRAFT - Pipe Supports,0,0,0
2000 050.170.270.730,"PDMS DRAFT - Building Drawings & Details (Plumbing, HVAC, & Ductwork ",MECH E&D - Dwgs - PDMS DRAFT - Bldg Dwgs/Details Plumb/HVAC ,"Mechanical Engineering and Design - Drawings - PDMS DRAFT - Building Drawings & Details (Plumbing, HVAC, & Ductwork ",0,0,0
2000 050.170.450.840,SPI-INTOOLS - Administration,SPI-INTOOLS - Administration,SPI-INTOOLS - Administration,1,0,0
2000 060.000.000.000,Instrument Engineering and Design,Instrument Eng and Design,Instrument Engineering and Design,0,0,0
2000 060.110.000.000,Reports and Studies,INST E&D - Reports and Studies,Instrument Engineering and Design - Reports and Studies,0,0,0
2000 060.110.010.000,Fire & Gas,INST E&D - Reports/Studies - Fire/Gas,Instrument Engineering and Design - Reports and Studies - Fire & Gas,0,0,0
2000 060.110.020.000,Communications,INST E&D - Reports/Studies - Comms,Instrument Engineering and Design - Reports and Studies - Communications,0,0,0
2000 060.110.030.000,Custody Transfer,INST E&D - Reports/Studies - Custody Transfer,Instrument Engineering and Design - Reports and Studies - Custody Transfer,0,0,0
2000 060.110.040.000,Hydraulics,INST E&D - Reports/Studies - Hydraulics,Instrument Engineering and Design - Reports and Studies - Hydraulics,0,0,0
2000 060.110.050.000,Control Philosophy/Narrative,INST E&D - Reports/Studies - Cntrl Philosophy/Narrative,Instrument Engineering and Design - Reports and Studies - Control Philosophy/Narrative,1,0,0
2000 060.110.990.000,Specialty/Other,INST E&D - Reports/Studies - Specialty/Other,Instrument Engineering and Design - Reports and Studies - Specialty/Other,0,0,0
2000 060.120.000.000,Datasheets and Specifications,INST E&D - Datasheets and Specs,Instrument Engineering and Design - Datasheets and Specifications,0,0,0
2000 060.120.010.000,Valves - Control,INST E&D - Datasheets/Specs - Valves - Cntrl,Instrument Engineering and Design - Datasheets and Specifications - Valves - Control,2,0,0
2000 060.120.020.000,Valves - Operated (SDV's),INST E&D - Datasheets/Specs - Valves - Operated (SDV's),Instrument Engineering and Design - Datasheets and Specifications - Valves - Operated (SDV's),2,0,0
2000 060.120.030.000,Valves - Pressure Safety/Relief,INST E&D - Datasheets/Specs - Valves - Pressure Sfty/Relief,Instrument Engineering and Design - Datasheets and Specifications - Valves - Pressure Safety/Relief,2,0,0
2000 060.120.040.000,Orifice Plates,INST E&D - Datasheets/Specs - Orifice Plates,Instrument Engineering and Design - Datasheets and Specifications - Orifice Plates,0,0,0
2000 060.120.050.000,Meters,INST E&D - Datasheets/Specs - Meters,Instrument Engineering and Design - Datasheets and Specifications - Meters,0,0,0
2000 060.120.060.000,Fire and Gas Equipment,INST E&D - Datasheets/Specs - Fire and Gas Equip,Instrument Engineering and Design - Datasheets and Specifications - Fire and Gas Equipment,0,0,0
2000 060.120.070.000,Transmitters,INST E&D - Datasheets/Specs - Transmitters,Instrument Engineering and Design - Datasheets and Specifications - Transmitters,0,0,0
2000 060.120.080.000,Switches,INST E&D - Datasheets/Specs - Switches,Instrument Engineering and Design - Datasheets and Specifications - Switches,0,0,0
2000 060.120.090.000,Indicators,INST E&D - Datasheets/Specs - Indicators,Instrument Engineering and Design - Datasheets and Specifications - Indicators,0,0,0
2000 060.120.100.000,Flow Computers,INST E&D - Datasheets/Specs - Flow Computers,Instrument Engineering and Design - Datasheets and Specifications - Flow Computers,0,0,0
2000 060.120.110.000,Analyzers,INST E&D - Datasheets/Specs - Analyzers,Instrument Engineering and Design - Datasheets and Specifications - Analyzers,0,0,0
2000 060.120.120.000,Communications System,INST E&D - Datasheets/Specs - Comms Sys,Instrument Engineering and Design - Datasheets and Specifications - Communications System,0,0,0
2000 060.120.130.000,Control System,INST E&D - Datasheets/Specs - Cntrl Sys,Instrument Engineering and Design - Datasheets and Specifications - Control System,0,0,0
2000 060.120.140.000,Instrument Specification Book,INST E&D - Datasheets/Specs - Instrument Spec Book,Instrument Engineering and Design - Datasheets and Specifications - Instrument Specification Book,0,0,0
2000 060.120.150.000,Instrument Specifications,INST E&D - Datasheets/Specs - Instrument Specs,Instrument Engineering and Design - Datasheets and Specifications - Instrument Specifications,0,0,0
2000 060.120.160.840,SPI-INTOOLS - Instrument Specifications,INST E&D - Datasheets/Specs - SPI-INTOOLS - Instrument Specs,Instrument Engineering and Design - Datasheets and Specifications - SPI-INTOOLS - Instrument Specifications,0,0,0
2000 060.120.980.000,Construction,INST E&D - Datasheets/Specs - Const,Instrument Engineering and Design - Datasheets and Specifications - Construction,1,0,0
